data,skip,time
16777216,1,0.10821866989135742
16777216,2,0.10250266393025716
16777216,4,0.10618837674458821
16777216,8,0.10758368174235027
16777216,16,0.10036595662434895
16777216,32,0.09509611129760742
16777216,64,0.09317628542582194
16777216,128,0.08905736605326335
16777216,256,0.08834560712178548
16777216,512,0.08837628364562988
16777216,1024,0.08663431803385417
16777216,2048,0.08535138765970866
33554432,1,0.20473178227742514
33554432,2,0.19231327374776205
33554432,4,0.19188896814982095
33554432,8,0.19158593813578287
33554432,16,0.19063599904378256
33554432,32,0.1799194018046061
33554432,64,0.16711759567260742
33554432,128,0.16576631863911948
33554432,256,0.1639393170674642
33554432,512,0.16640996932983398
33554432,1024,0.16715327898661295
33554432,2048,0.1618953545888265
67108864,1,0.39605871836344403
67108864,2,0.37093202273050946
67108864,4,0.3715830643971761
67108864,8,0.3710789680480957
67108864,16,0.3650844097137451
67108864,32,0.3476765950520833
67108864,64,0.3228972752888997
67108864,128,0.31485605239868164
67108864,256,0.31206901868184406
67108864,512,0.30926791826883954
67108864,1024,0.3107419013977051
67108864,2048,0.310561736424764
134217728,1,0.7773226102193197
134217728,2,0.7299516995747884
134217728,4,0.7195556163787842
134217728,8,0.7196636994679769
134217728,16,0.7128753662109375
134217728,32,0.6715703010559082
134217728,64,0.6297000249226888
134217728,128,0.616226593653361
134217728,256,0.6116502285003662
134217728,512,0.6069924036661783
134217728,1024,0.6050556500752767
134217728,2048,0.6024596691131592
268435456,1,1.5454100767771404
268435456,2,1.4452753861745198
268435456,4,1.4272112846374512
268435456,8,1.427971363067627
268435456,16,1.4106595516204834
268435456,32,1.3315186500549316
268435456,64,1.246712366739909
268435456,128,1.2206873893737793
268435456,256,1.207353671391805
268435456,512,1.1970163981119792
268435456,1024,1.1979022820790608
268435456,2048,1.1944362322489421
536870912,1,3.0743436018625894
536870912,2,2.8755743503570557
536870912,4,2.845160722732544
536870912,8,2.8472417195638022
536870912,16,2.815664768218994
536870912,32,2.6548850536346436
536870912,64,2.486030340194702
536870912,128,2.428279002507528
536870912,256,2.39854105313619
536870912,512,2.3873630364735923
536870912,1024,2.3826770782470703
536870912,2048,2.3769317468007407
